crop_type,soil_type,rainfall,season,irrigation,farm_size,yield_kg_per_ha
potato,clay,medium,winter,rainfed,medium,34735.87
potato,clay,low,summer,sprinkler,medium,32873.16
soybean,loamy,medium,summer,rainfed,large,2812.59
wheat,clay,high,summer,flood,large,4889.89
soybean,sandy,low,fall,flood,medium,2127.54
potato,clay,high,fall,rainfed,small,35264.56
corn,silty,low,fall,drip,small,6131.86
soybean,loamy,high,fall,flood,small,3562.57
rice,loamy,low,summer,rainfed,large,5204.65
rice,loamy,medium,winter,rainfed,medium,5702.16
wheat,peaty,medium,summer,rainfed,medium,3646.63
soybean,clay,low,fall,flood,medium,2777.34
potato,peaty,high,fall,flood,large,51143.09
rice,silty,medium,fall,sprinkler,medium,6697.85
potato,peaty,low,fall,drip,small,35049.0
wheat,sandy,medium,fall,flood,medium,3310.49
wheat,peaty,medium,fall,drip,medium,4250.21
corn,silty,low,fall,flood,small,6678.87
wheat,sandy,medium,winter,drip,medium,3485.21
soybean,peaty,high,summer,rainfed,small,2596.76
rice,loamy,high,summer,flood,small,7394.2
potato,clay,medium,spring,flood,medium,46050.52
soybean,peaty,medium,summer,rainfed,medium,2423.3
corn,peaty,low,winter,drip,small,6002.45
potato,clay,low,winter,drip,large,33643.4
potato,silty,medium,spring,sprinkler,medium,43528.5
soybean,peaty,high,spring,rainfed,medium,2737.15
wheat,sandy,low,spring,drip,medium,2632.17
rice,loamy,medium,summer,drip,medium,6474.12
corn,silty,medium,summer,drip,large,8500.99
wheat,silty,high,winter,flood,medium,5324.37
wheat,clay,low,summer,sprinkler,medium,3506.3
wheat,clay,medium,fall,rainfed,small,3806.79
corn,clay,medium,spring,sprinkler,medium,7443.29
potato,peaty,medium,fall,sprinkler,small,42690.19
potato,peaty,low,spring,flood,small,32701.07
wheat,silty,high,spring,sprinkler,medium,4726.34
rice,sandy,high,summer,sprinkler,large,5290.42
corn,silty,low,fall,flood,large,7569.7
rice,sandy,low,winter,drip,large,3911.7
corn,clay,low,spring,rainfed,large,5580.02
rice,sandy,high,winter,sprinkler,large,5468.4
corn,clay,high,winter,rainfed,small,6736.72
corn,silty,medium,fall,rainfed,medium,6595.76
soybean,loamy,medium,spring,sprinkler,large,3326.78
soybean,clay,low,spring,flood,large,2693.38
potato,sandy,low,fall,rainfed,large,27871.82
wheat,loamy,high,summer,drip,medium,5207.66
rice,clay,medium,fall,rainfed,medium,5287.39
corn,silty,medium,spring,drip,large,8343.19
wheat,silty,medium,fall,flood,small,4539.86
soybean,sandy,high,summer,sprinkler,large,2657.29
potato,loamy,medium,winter,sprinkler,large,47458.19
wheat,silty,medium,spring,drip,small,4222.63
rice,loamy,high,summer,rainfed,large,6249.26
rice,silty,high,fall,rainfed,medium,6442.8
wheat,loamy,low,spring,flood,medium,3761.47
potato,loamy,low,summer,flood,large,37974.81
wheat,loamy,low,winter,flood,medium,3942.85
wheat,sandy,high,summer,sprinkler,medium,3760.88
rice,peaty,high,fall,drip,small,7018.93
potato,loamy,low,winter,rainfed,small,29061.35
wheat,clay,high,fall,sprinkler,medium,4567.67
soybean,sandy,medium,fall,flood,small,2364.67
wheat,clay,low,summer,rainfed,medium,2506.25
corn,peaty,low,winter,flood,large,7924.88
wheat,peaty,medium,winter,flood,medium,4502.02
rice,peaty,medium,fall,flood,medium,6150.44
potato,sandy,high,summer,rainfed,small,29522.99
corn,sandy,low,fall,sprinkler,small,4731.16
wheat,clay,medium,winter,sprinkler,small,4161.0
rice,silty,low,spring,rainfed,small,3812.42
soybean,loamy,medium,spring,flood,large,3896.64
rice,clay,low,spring,drip,small,4765.98
corn,silty,high,summer,flood,small,8582.45
corn,peaty,low,spring,flood,small,6579.33
corn,sandy,low,fall,rainfed,large,4099.89
rice,loamy,high,winter,drip,medium,7111.49
soybean,peaty,low,spring,rainfed,medium,1988.75
wheat,sandy,medium,fall,flood,medium,3532.32
potato,clay,high,spring,flood,small,48625.0
corn,clay,medium,fall,flood,small,7611.81
rice,silty,low,spring,sprinkler,large,5849.64
soybean,sandy,medium,spring,sprinkler,small,2521.52
potato,sandy,medium,summer,rainfed,small,26908.54
soybean,loamy,low,summer,flood,medium,2915.94
soybean,loamy,high,summer,flood,medium,3869.18
soybean,sandy,medium,spring,rainfed,small,1698.97
wheat,loamy,low,summer,sprinkler,small,3392.96
potato,peaty,high,fall,flood,medium,49852.37
rice,clay,medium,summer,flood,small,5760.47
potato,clay,high,summer,flood,small,45469.02
wheat,clay,low,summer,flood,small,3291.72
rice,silty,low,fall,flood,medium,5881.72
soybean,sandy,high,winter,drip,large,2972.58
soybean,sandy,medium,fall,drip,small,2180.17
soybean,silty,medium,spring,rainfed,small,2489.26
corn,silty,low,summer,rainfed,medium,5917.54
wheat,silty,medium,winter,flood,large,4563.36
soybean,loamy,high,winter,drip,large,3918.82
corn,peaty,high,fall,rainfed,large,7962.49
potato,clay,medium,fall,rainfed,small,33118.07
wheat,clay,high,winter,sprinkler,large,4968.36
soybean,clay,low,summer,rainfed,large,2031.34
rice,loamy,high,summer,flood,small,7702.96
rice,clay,high,winter,flood,small,6732.57
rice,loamy,low,spring,sprinkler,small,5266.44
soybean,clay,medium,winter,drip,small,2906.06
wheat,peaty,low,summer,drip,large,4001.97
soybean,loamy,medium,fall,flood,large,3820.59
rice,loamy,medium,summer,drip,large,7403.89
rice,clay,high,winter,drip,small,6724.34
wheat,peaty,medium,spring,drip,medium,4196.2
potato,clay,medium,fall,flood,small,42934.34
potato,clay,high,spring,sprinkler,small,44133.3
soybean,peaty,medium,fall,rainfed,small,2394.93
rice,sandy,high,summer,drip,small,5428.73
rice,silty,high,spring,drip,small,6842.68
rice,peaty,high,spring,flood,medium,7180.4
soybean,sandy,high,spring,drip,small,2781.17
rice,loamy,high,spring,drip,large,8108.39
soybean,peaty,medium,spring,rainfed,large,2510.31
potato,sandy,high,summer,rainfed,large,32974.89
corn,peaty,low,fall,flood,medium,6643.51
corn,peaty,high,summer,sprinkler,large,8834.83
soybean,loamy,low,winter,drip,large,2859.56
corn,peaty,medium,spring,flood,medium,8261.74
corn,sandy,low,summer,drip,medium,5035.5
rice,loamy,high,winter,drip,large,8185.57
rice,silty,low,spring,rainfed,small,4298.9
wheat,silty,medium,summer,rainfed,medium,3419.75
wheat,silty,medium,summer,rainfed,large,3941.89
wheat,peaty,low,fall,flood,small,3429.0
corn,loamy,medium,spring,sprinkler,medium,8762.97
potato,loamy,low,winter,flood,large,41148.18
soybean,sandy,medium,spring,rainfed,small,1759.59
wheat,peaty,medium,winter,flood,large,4958.88
corn,loamy,low,spring,rainfed,large,6100.28
corn,peaty,medium,spring,flood,large,9405.81
potato,silty,medium,winter,sprinkler,large,46923.61
potato,peaty,medium,winter,rainfed,small,35013.97
soybean,sandy,high,spring,sprinkler,large,2859.92
corn,silty,low,spring,drip,small,6563.51
potato,clay,low,spring,flood,large,39665.96
rice,clay,low,spring,drip,small,4971.32
wheat,sandy,high,summer,drip,small,3522.25
potato,clay,medium,fall,flood,medium,43776.02
potato,sandy,low,winter,sprinkler,medium,25086.64
rice,silty,high,fall,rainfed,small,5726.4
potato,peaty,medium,winter,sprinkler,small,39606.71
rice,peaty,high,spring,drip,small,6882.46
corn,peaty,medium,fall,drip,small,8047.3
soybean,peaty,high,summer,rainfed,small,2674.65
wheat,clay,low,summer,sprinkler,medium,3486.6
soybean,sandy,medium,spring,rainfed,small,1829.61
wheat,sandy,high,spring,flood,large,4286.64
wheat,silty,low,winter,rainfed,small,3040.45
wheat,sandy,medium,fall,sprinkler,large,3435.71
corn,sandy,medium,fall,rainfed,medium,5427.88
soybean,clay,low,spring,sprinkler,small,2149.51
wheat,loamy,medium,fall,drip,small,4492.99
rice,loamy,medium,spring,flood,small,6887.81
corn,loamy,high,fall,drip,medium,9306.55
corn,silty,medium,summer,drip,large,8707.79
rice,silty,low,winter,flood,large,5949.18
potato,silty,medium,summer,drip,small,41061.61
soybean,sandy,high,spring,sprinkler,large,2660.23
wheat,clay,high,fall,drip,large,4754.02
corn,peaty,high,summer,flood,small,9066.02
rice,loamy,medium,winter,drip,medium,6541.36
soybean,clay,high,winter,drip,large,3546.38
potato,sandy,high,fall,flood,medium,39933.02
potato,loamy,low,spring,drip,large,39419.41
rice,clay,low,summer,rainfed,small,4019.83
corn,silty,low,summer,rainfed,small,5575.5
corn,sandy,medium,fall,flood,large,7141.06
potato,peaty,low,spring,sprinkler,small,33737.2
potato,loamy,low,spring,sprinkler,large,38688.28
potato,clay,high,spring,flood,large,51380.96
rice,silty,high,winter,flood,small,7232.66
potato,clay,high,winter,rainfed,large,42178.06
potato,clay,low,fall,rainfed,large,28977.21
soybean,loamy,medium,summer,flood,small,3314.33
wheat,silty,high,spring,sprinkler,small,4456.5
potato,clay,low,spring,flood,medium,36862.13
potato,sandy,high,fall,flood,small,36208.8
potato,loamy,low,fall,rainfed,large,32720.54
wheat,clay,high,spring,sprinkler,small,4389.52
wheat,peaty,high,spring,rainfed,medium,3752.03
rice,peaty,high,fall,drip,small,6700.94
rice,peaty,medium,summer,drip,medium,6271.54
soybean,clay,low,spring,drip,medium,2730.79
soybean,sandy,high,spring,drip,large,2998.38
rice,silty,medium,spring,rainfed,large,5583.73
rice,clay,medium,summer,flood,medium,6221.27
soybean,clay,low,winter,drip,small,2494.49
wheat,loamy,low,summer,rainfed,small,2896.08
corn,clay,high,summer,flood,small,8428.32
wheat,silty,medium,spring,rainfed,small,3166.45
wheat,loamy,medium,spring,flood,medium,4780.44
corn,silty,low,spring,flood,medium,6747.32
rice,silty,medium,summer,sprinkler,small,5558.37
potato,clay,medium,summer,drip,large,43994.77
corn,sandy,high,winter,flood,medium,6783.19
corn,loamy,medium,spring,sprinkler,small,7731.31
potato,peaty,low,spring,flood,medium,34846.87
corn,clay,medium,fall,drip,large,8063.41
rice,peaty,low,spring,sprinkler,small,4605.4
wheat,clay,medium,fall,drip,small,4201.23
soybean,loamy,low,spring,drip,small,2756.66
soybean,loamy,low,fall,rainfed,small,2141.57
potato,clay,high,summer,sprinkler,large,46025.8
wheat,peaty,high,winter,sprinkler,small,4272.14
soybean,sandy,medium,fall,drip,medium,2453.62
rice,silty,low,winter,drip,medium,5214.7
corn,loamy,high,spring,rainfed,large,7822.4
soybean,clay,low,fall,flood,large,2742.97
soybean,sandy,high,winter,drip,medium,2382.64
rice,loamy,high,spring,flood,medium,7844.51
corn,silty,medium,summer,drip,small,7982.23
soybean,loamy,medium,spring,drip,large,3679.52
potato,loamy,high,fall,drip,small,45500.45
corn,loamy,high,summer,drip,large,9522.38
rice,clay,medium,summer,flood,large,6895.39
rice,silty,medium,winter,sprinkler,small,6263.93
soybean,loamy,high,summer,sprinkler,large,3813.6
potato,clay,medium,summer,rainfed,medium,33494.36
potato,clay,low,winter,rainfed,small,26737.4
corn,peaty,low,spring,drip,medium,6489.18
rice,clay,medium,spring,drip,large,6810.9
rice,loamy,low,winter,sprinkler,medium,5655.71
rice,clay,low,summer,sprinkler,small,5035.32
potato,peaty,high,fall,flood,medium,48540.85
potato,clay,low,summer,drip,medium,34496.48
rice,loamy,high,spring,rainfed,medium,6287.05
rice,peaty,low,winter,drip,small,4916.29
corn,peaty,high,fall,sprinkler,large,9097.96
wheat,clay,low,summer,sprinkler,large,3377.19
corn,sandy,medium,summer,sprinkler,large,6451.97
wheat,sandy,medium,fall,flood,large,3861.9
soybean,clay,medium,spring,flood,large,3382.62
corn,peaty,medium,winter,drip,small,7611.96
soybean,peaty,medium,winter,drip,medium,2868.35
corn,loamy,low,spring,rainfed,large,6175.45
rice,peaty,high,spring,flood,small,7253.23
soybean,silty,low,winter,rainfed,large,2399.78
rice,peaty,medium,summer,sprinkler,small,6116.67
wheat,clay,low,spring,rainfed,small,2738.54
potato,clay,medium,fall,rainfed,small,32290.79
rice,loamy,medium,spring,flood,large,7901.77
wheat,clay,medium,summer,rainfed,large,3560.96
wheat,clay,low,winter,sprinkler,large,3560.63
soybean,loamy,medium,spring,drip,medium,3153.25
wheat,clay,low,summer,sprinkler,medium,3451.45
wheat,clay,high,fall,rainfed,large,3984.94
corn,silty,low,fall,flood,medium,6678.4
wheat,sandy,medium,summer,drip,small,2957.46
wheat,clay,medium,spring,sprinkler,large,4391.72
potato,peaty,medium,summer,rainfed,large,37084.29
wheat,silty,high,winter,rainfed,small,3600.08
wheat,silty,high,winter,rainfed,medium,4014.63
potato,clay,low,summer,rainfed,small,26873.7
corn,sandy,medium,fall,flood,medium,6842.01
soybean,sandy,medium,fall,rainfed,large,2049.78
soybean,sandy,low,spring,sprinkler,large,1987.91
corn,sandy,low,winter,rainfed,large,4238.12
rice,clay,high,spring,sprinkler,large,7362.12
rice,clay,low,fall,drip,large,5335.56
wheat,peaty,high,spring,flood,large,5317.93
wheat,silty,medium,winter,drip,small,4517.6
wheat,silty,low,fall,sprinkler,small,3491.95
rice,sandy,medium,fall,rainfed,small,3754.59
soybean,loamy,low,summer,drip,large,2833.82
corn,loamy,high,summer,flood,medium,9734.44
potato,silty,low,spring,drip,medium,34162.56
wheat,loamy,high,summer,flood,large,5485.92
soybean,clay,medium,summer,flood,medium,3076.02
potato,loamy,medium,winter,flood,large,49385.03
soybean,loamy,high,winter,drip,large,3685.11
wheat,loamy,low,summer,sprinkler,large,4009.96
rice,clay,low,summer,rainfed,large,4383.43
rice,sandy,high,spring,sprinkler,medium,5623.08
corn,loamy,low,spring,sprinkler,medium,7327.02
rice,clay,low,winter,sprinkler,medium,4946.06
wheat,peaty,low,summer,rainfed,large,2895.95
wheat,clay,low,fall,rainfed,small,2680.27
corn,clay,medium,winter,flood,medium,8163.23
potato,clay,low,summer,sprinkler,medium,33536.81
wheat,clay,low,spring,drip,medium,3347.43
rice,loamy,high,summer,drip,large,7872.23
soybean,peaty,low,fall,drip,small,2415.16
rice,peaty,low,winter,rainfed,small,4182.3
soybean,silty,low,winter,flood,large,2720.26
potato,loamy,low,summer,sprinkler,large,37793.3
soybean,sandy,medium,summer,flood,large,2686.44
corn,peaty,low,winter,sprinkler,medium,6487.13
wheat,peaty,high,summer,rainfed,small,3560.92
potato,peaty,high,spring,rainfed,small,39201.24
corn,peaty,low,spring,flood,small,6452.36
wheat,loamy,high,summer,sprinkler,medium,4996.75
rice,loamy,medium,spring,rainfed,large,5856.71
soybean,clay,medium,fall,sprinkler,large,3290.7
soybean,clay,medium,spring,rainfed,small,2378.52
wheat,loamy,medium,winter,drip,small,4389.53
soybean,loamy,medium,summer,sprinkler,small,3097.6
potato,loamy,medium,spring,sprinkler,large,46575.75
soybean,sandy,low,summer,sprinkler,medium,1928.35
potato,sandy,medium,spring,flood,small,32476.0
rice,loamy,low,winter,rainfed,large,4888.48
wheat,loamy,high,summer,sprinkler,small,4700.34
wheat,sandy,medium,summer,flood,small,3288.12
potato,silty,high,spring,rainfed,large,42570.82
soybean,loamy,medium,summer,flood,small,3185.75
soybean,sandy,low,summer,rainfed,large,1706.24
wheat,clay,medium,winter,drip,small,3602.6
potato,sandy,low,winter,flood,large,27804.04
rice,peaty,medium,fall,drip,large,6936.89
potato,peaty,low,fall,sprinkler,large,36224.13
corn,sandy,low,fall,sprinkler,medium,5310.05
wheat,clay,medium,spring,rainfed,small,3359.64
wheat,peaty,high,spring,rainfed,medium,3721.6
rice,silty,medium,fall,sprinkler,medium,6501.06
potato,peaty,low,summer,drip,medium,35181.04
soybean,clay,low,summer,rainfed,small,1843.56
potato,sandy,low,winter,flood,medium,29724.54
potato,loamy,medium,spring,rainfed,medium,35540.59
soybean,clay,medium,summer,sprinkler,large,3052.91
rice,sandy,high,spring,sprinkler,medium,5378.26
soybean,loamy,medium,fall,drip,medium,3354.8
potato,silty,medium,spring,flood,small,43379.21
corn,loamy,low,fall,flood,small,7050.82
wheat,silty,low,summer,rainfed,large,3372.97
wheat,sandy,high,fall,flood,large,3797.09
potato,clay,high,fall,sprinkler,large,49798.45
potato,clay,high,spring,drip,medium,46464.31
rice,clay,low,winter,drip,medium,5417.17
wheat,silty,medium,spring,drip,large,4720.13
wheat,clay,medium,summer,flood,small,4113.49
potato,loamy,high,spring,rainfed,small,36452.72
soybean,loamy,medium,winter,sprinkler,large,3335.37
soybean,peaty,medium,summer,flood,medium,3201.67
soybean,clay,high,fall,sprinkler,medium,3222.02
potato,sandy,medium,fall,rainfed,large,31647.92
potato,silty,low,summer,flood,large,38337.22
corn,silty,low,winter,sprinkler,medium,6536.42
wheat,peaty,medium,spring,rainfed,small,3139.15
rice,loamy,high,winter,drip,small,6770.07
corn,sandy,high,winter,drip,medium,6828.28
corn,loamy,high,summer,sprinkler,medium,8757.3
rice,peaty,low,fall,rainfed,medium,3937.28
potato,silty,high,summer,sprinkler,large,49457.42
rice,peaty,low,summer,sprinkler,small,5118.95
potato,sandy,low,fall,sprinkler,medium,26012.48
corn,silty,high,summer,sprinkler,medium,9432.6
corn,loamy,high,fall,drip,medium,9384.23
corn,silty,medium,fall,sprinkler,medium,8308.52
potato,silty,high,spring,sprinkler,large,51228.77
wheat,loamy,low,summer,sprinkler,large,3851.4
corn,clay,low,fall,drip,small,6521.85
corn,silty,high,winter,flood,large,9824.64
potato,sandy,low,spring,sprinkler,large,28844.58
potato,peaty,high,summer,flood,small,45703.8
soybean,peaty,medium,summer,drip,medium,3212.0
wheat,silty,high,spring,drip,medium,5039.03
soybean,silty,medium,winter,flood,large,3373.3
potato,sandy,high,summer,drip,large,36729.44
soybean,silty,low,winter,flood,medium,2535.0
soybean,silty,low,fall,flood,medium,2353.02
corn,loamy,high,fall,rainfed,large,7774.61
soybean,loamy,low,fall,drip,large,2747.8
potato,silty,high,winter,rainfed,small,35799.97
rice,silty,high,summer,sprinkler,small,6338.91
wheat,sandy,medium,spring,flood,medium,3437.77
soybean,clay,low,fall,sprinkler,small,2409.74
soybean,sandy,medium,fall,rainfed,medium,2095.93
soybean,silty,medium,summer,sprinkler,medium,3319.57
corn,silty,medium,winter,rainfed,large,7166.75
potato,peaty,high,spring,flood,medium,49720.96
potato,clay,medium,winter,flood,medium,46372.96
wheat,peaty,medium,summer,rainfed,medium,3841.17
potato,loamy,high,summer,drip,large,56552.33
wheat,sandy,low,fall,drip,large,2968.51
soybean,loamy,high,summer,sprinkler,small,3450.14
potato,peaty,high,fall,rainfed,medium,40897.92
corn,sandy,medium,summer,drip,small,6048.58
potato,loamy,low,winter,rainfed,medium,30950.87
potato,clay,medium,spring,drip,large,43751.01
rice,silty,low,spring,rainfed,large,5149.03
wheat,sandy,low,fall,drip,small,2663.39
potato,loamy,medium,winter,sprinkler,large,48924.62
corn,peaty,medium,spring,sprinkler,small,7659.2
wheat,peaty,high,winter,sprinkler,medium,4634.28
soybean,clay,medium,fall,rainfed,small,2409.09
potato,loamy,high,winter,drip,large,54074.06
potato,sandy,medium,winter,flood,small,32541.14
corn,clay,low,summer,sprinkler,small,6279.51
wheat,silty,low,spring,sprinkler,medium,3534.87
potato,sandy,high,spring,flood,small,40874.62
rice,loamy,high,summer,rainfed,medium,5605.22
potato,clay,medium,winter,drip,large,43678.16
rice,sandy,low,fall,rainfed,large,3950.28
rice,loamy,medium,summer,flood,large,7209.26
potato,clay,medium,spring,flood,medium,42173.11
potato,sandy,medium,fall,drip,small,29296.62
rice,peaty,high,summer,sprinkler,small,6442.9
rice,loamy,medium,spring,drip,large,7080.62
soybean,loamy,high,spring,rainfed,medium,2954.47
potato,peaty,low,winter,sprinkler,large,33429.95
potato,clay,medium,winter,rainfed,small,30962.31
potato,sandy,high,fall,flood,large,40780.94
wheat,silty,high,winter,rainfed,medium,3871.61
wheat,clay,high,fall,rainfed,large,4054.99
corn,peaty,high,winter,drip,medium,8490.05
potato,silty,low,fall,flood,medium,37401.07
rice,peaty,medium,fall,rainfed,large,5404.69
corn,peaty,high,spring,sprinkler,medium,9168.72
potato,sandy,medium,fall,drip,small,32245.61
corn,sandy,low,fall,drip,small,4845.12
corn,peaty,low,spring,rainfed,large,6211.05
potato,sandy,low,winter,rainfed,small,15832.91
potato,silty,low,spring,sprinkler,small,34123.84
rice,clay,medium,fall,flood,medium,6614.83
corn,silty,low,spring,drip,large,6916.47
wheat,peaty,low,spring,sprinkler,large,3508.44
rice,sandy,low,spring,sprinkler,small,3780.52
wheat,loamy,medium,spring,rainfed,small,3818.22
rice,peaty,low,summer,rainfed,small,4319.77
rice,sandy,low,fall,rainfed,small,3443.99
soybean,clay,medium,summer,rainfed,small,2438.51
corn,silty,low,winter,flood,small,6493.11
corn,clay,medium,summer,drip,medium,8290.84
soybean,silty,high,winter,flood,medium,3524.34
wheat,silty,high,spring,flood,medium,5208.31
potato,clay,medium,spring,sprinkler,small,37931.88
soybean,silty,high,spring,sprinkler,medium,3453.17
soybean,sandy,high,fall,sprinkler,medium,2443.26
wheat,peaty,low,fall,rainfed,small,2952.53
soybean,clay,high,spring,rainfed,large,2733.5
rice,clay,high,fall,rainfed,small,5888.93
soybean,clay,medium,summer,drip,small,2873.53
wheat,loamy,low,spring,rainfed,small,2953.89
potato,loamy,high,spring,rainfed,medium,39830.37
potato,silty,low,fall,rainfed,large,33370.37
wheat,peaty,high,summer,drip,small,4671.73
corn,clay,high,fall,rainfed,medium,7182.79
corn,loamy,medium,summer,sprinkler,small,8081.68
wheat,silty,high,fall,sprinkler,small,4232.31
rice,clay,high,winter,rainfed,large,5824.59
rice,peaty,low,fall,flood,medium,5597.22
potato,silty,low,winter,flood,large,42963.26
rice,silty,high,fall,flood,small,6968.35
rice,clay,medium,fall,flood,medium,6453.26
potato,loamy,low,spring,sprinkler,large,42086.76
rice,silty,high,summer,drip,small,6808.3
wheat,peaty,medium,fall,flood,small,4486.06
corn,sandy,high,winter,drip,medium,6513.75
potato,peaty,medium,summer,rainfed,large,38250.6
wheat,sandy,low,summer,rainfed,small,2081.85
soybean,silty,medium,spring,flood,medium,3175.84
potato,sandy,high,spring,flood,small,36189.94
wheat,silty,high,fall,drip,large,5351.53
potato,silty,low,summer,flood,large,38233.06
wheat,silty,high,winter,flood,large,5482.17
wheat,peaty,low,winter,drip,small,3342.74
soybean,silty,high,fall,flood,small,3276.95
soybean,clay,medium,spring,drip,medium,3182.92
wheat,loamy,low,spring,sprinkler,large,3914.82
rice,peaty,low,winter,flood,small,5253.97
corn,silty,high,spring,sprinkler,medium,9208.99
rice,loamy,high,spring,drip,medium,7879.13
wheat,peaty,high,summer,flood,large,4964.53
rice,peaty,medium,winter,sprinkler,small,6169.48
rice,peaty,medium,summer,flood,small,6170.31
potato,clay,low,spring,flood,large,37030.57
rice,clay,low,winter,flood,large,5937.08
wheat,loamy,medium,summer,rainfed,medium,3840.55
rice,sandy,low,winter,sprinkler,medium,3799.56
rice,silty,medium,winter,rainfed,small,4478.03
soybean,sandy,medium,fall,rainfed,medium,2051.07
wheat,loamy,low,winter,flood,small,3700.24
rice,silty,high,summer,flood,large,7988.95
corn,silty,low,summer,sprinkler,medium,5353.6
wheat,silty,medium,fall,flood,large,5095.3
corn,loamy,low,winter,sprinkler,medium,6328.85
corn,clay,medium,winter,drip,large,8700.66
corn,loamy,medium,spring,drip,medium,8613.42
soybean,peaty,low,spring,flood,large,2936.89
rice,peaty,low,winter,sprinkler,small,4645.86
wheat,loamy,medium,spring,rainfed,small,3760.78
potato,sandy,low,fall,sprinkler,large,31149.9
rice,silty,high,spring,sprinkler,large,6851.1
corn,clay,high,spring,drip,medium,8195.29
rice,clay,low,spring,sprinkler,large,5231.76
rice,peaty,medium,fall,sprinkler,large,7123.48
rice,sandy,medium,spring,flood,large,5596.88
rice,sandy,low,summer,flood,small,4717.79
potato,loamy,medium,spring,sprinkler,small,42982.38
potato,peaty,low,summer,drip,large,35175.09
rice,loamy,high,spring,sprinkler,small,6857.4
wheat,sandy,low,winter,sprinkler,small,2826.98
rice,peaty,high,spring,rainfed,small,5295.69
potato,silty,medium,winter,flood,medium,46075.46
corn,clay,high,spring,sprinkler,medium,9051.48
corn,silty,medium,spring,rainfed,large,6852.29
potato,peaty,high,winter,rainfed,large,39009.08
wheat,clay,low,winter,drip,small,3157.6
wheat,loamy,low,fall,sprinkler,small,3739.38
wheat,peaty,low,spring,flood,medium,3602.44
rice,clay,low,spring,rainfed,large,3839.27
